op_slug,country_slug
operation-trojan-shield,international
operation-trojan-shield,netherlands
operation-trojan-shield,sweden
operation-trojan-shield,united-states
operation-wirewire,canada
operation-wirewire,mauritius
operation-wirewire,nigeria
operation-wirewire,poland
operation-wirewire,united-states
phobos-8base-crackdown,belgium
phobos-8base-crackdown,czechia
phobos-8base-crackdown,france
phobos-8base-crackdown,germany
phobos-8base-crackdown,japan
phobos-8base-crackdown,poland
phobos-8base-crackdown,romania
phobos-8base-crackdown,singapore
phobos-8base-crackdown,south-korea
phobos-8base-crackdown,spain
phobos-8base-crackdown,sweden
phobos-8base-crackdown,switzerland
phobos-8base-crackdown,thailand
phobos-8base-crackdown,united-kingdom
phobos-8base-crackdown,united-states
proxy-service-takedown-2026-03,austria
proxy-service-takedown-2026-03,france
proxy-service-takedown-2026-03,netherlands
proxy-service-takedown-2026-03,united-states
qqaazz-money-laundering-takedown,bulgaria
qqaazz-money-laundering-takedown,georgia
qqaazz-money-laundering-takedown,latvia
qqaazz-money-laundering-takedown,portugal
qqaazz-money-laundering-takedown,spain
qqaazz-money-laundering-takedown,united-kingdom
qqaazz-money-laundering-takedown,united-states
ramnit-botnet-takedown,germany
ramnit-botnet-takedown,italy
ramnit-botnet-takedown,netherlands
ramnit-botnet-takedown,united-kingdom
rex-mundi-takedown,france
rex-mundi-takedown,thailand
rex-mundi-takedown,united-kingdom
rydox-marketplace-takedown,albania
rydox-marketplace-takedown,kosovo
rydox-marketplace-takedown,malaysia
rydox-marketplace-takedown,united-states
silk-road-takedown,australia
silk-road-takedown,iceland
silk-road-takedown,ireland
silk-road-takedown,thailand
silk-road-takedown,united-states
simda-botnet-takedown,japan
simda-botnet-takedown,luxembourg
simda-botnet-takedown,netherlands
simda-botnet-takedown,poland
simda-botnet-takedown,russia
simda-botnet-takedown,singapore
simda-botnet-takedown,united-states
trickbot-operations,south-korea
trickbot-operations,united-states
vpnlab-takedown,canada
vpnlab-takedown,czech-republic
vpnlab-takedown,france
vpnlab-takedown,germany
vpnlab-takedown,hungary
vpnlab-takedown,latvia
vpnlab-takedown,netherlands
vpnlab-takedown,ukraine
vpnlab-takedown,united-kingdom
vpnlab-takedown,united-states
xdedic-marketplace-takedown,belgium
xdedic-marketplace-takedown,ukraine
xdedic-marketplace-takedown,united-states
zeus-spyeye-jit-takedown,austria
zeus-spyeye-jit-takedown,belgium
zeus-spyeye-jit-takedown,ukraine
